Event Clearance Description,Event Clearance Date,Hundred Block Location,Longitude,Latitude,Incident Location
"VICE, OTHER",01/20/2015 07:21:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
"VICE, OTHER",01/20/2015 06:58:00 PM,94XX BLOCK OF AURORA AV N,-122.344603718,47.697446424,"(47.697446424, -122.344603718)"
"VICE, OTHER",01/20/2015 06:48:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
"VICE, OTHER",01/20/2015 01:52:00 PM,N 90 ST / AURORA AV N,-122.344567659,47.694184039,"(47.694184039, -122.344567659)"
PROSTITUTION,01/19/2015 05:51:00 PM,N 128 ST / AURORA AV N,-122.344967474,47.722300779,"(47.722300779, -122.344967474)"
GAMBLING,01/18/2015 06:47:00 PM,73XX BLOCK OF RAINIER AV S,-122.270154705,47.536443871,"(47.536443871, -122.270154705)"
PROSTITUTION,01/17/2015 11:46:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
PROSTITUTION,01/17/2015 11:45:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
"VICE, OTHER",01/17/2015 10:42:00 PM,89XX BLOCK OF LAKE CITY WY NE,-122.305476976,47.693476373,"(47.693476373, -122.305476976)"
PROSTITUTION,01/17/2015 08:23:00 PM,N 95 ST / AURORA AV N,-122.344608114,47.69780844,"(47.69780844, -122.344608114)"
PROSTITUTION,01/17/2015 03:28:00 PM,97XX BLOCK OF GREENWOOD AV N,-122.355397373,47.699785557,"(47.699785557, -122.355397373)"
GAMBLING,01/17/2015 12:27:00 PM,92XX BLOCK OF RAINIER AV S,-122.268030096,47.519851782,"(47.519851782, -122.268030096)"
PROSTITUTION,01/16/2015 08:07:00 PM,N 97 ST / AURORA AV N,-122.344632324,47.699617846,"(47.699617846, -122.344632324)"
PROSTITUTION,01/15/2015 09:41:00 PM,95XX BLOCK OF AURORA AV N,-122.34461233,47.698170964,"(47.698170964, -122.34461233)"
SUSPICIOUS PERSON,01/15/2015 02:56:00 PM,AURORA AV N / N 135 ST,-122.345018864,47.726857313,"(47.726857313, -122.345018864)"
PROSTITUTION,01/15/2015 03:23:00 AM,89XX BLOCK OF AURORA AV N,-122.344560663,47.693823399,"(47.693823399, -122.344560663)"
PROSTITUTION,01/14/2015 10:10:00 PM,BEACON AV S / 15 AV S,-122.313413565,47.580591717,"(47.580591717, -122.313413565)"
PROSTITUTION,01/14/2015 10:10:00 PM,15 AV S / BEACON AV S,-122.313413565,47.580591717,"(47.580591717, -122.313413565)"
